Station-ID;Station-Name;Lat;Long;Startvorgänge;Endvorgänge
254647;Haardtwaldplatz;8.636056;50.086111;66;64
254649;Bruchfeldplatz;8.644618;50.087386;77;71
254651;Gerauer Straße / Güntherstraße;8.645849;50.081445;102;121
254652;Bechtenwaldstraße / Hahnbergweg;8.500329;50.0979;0;1
254653;S-Bahn Station Zeilsheim;8.50716;50.090267;5;3
254655;Im Mainfeld;8.643092;50.090134;141;143
254657;Kelsterbacher Straße / Schwanheimer Straße;8.646267;50.088533;167;165
254658;Haltestelle Rennbahn;8.651432;50.083313;133;137
254660;Reichsforststraße / Waldstraße;8.64807;50.078325;102;105
254661;Deutschordenstraße / Komturstraße;8.652322;50.089769;66;70
254662;Seckbacher Landstraße / Weidenbornstraße;8.708961;50.130979;82;78
254950;Industriepark Höchst Tor Ost;8.538669;50.095953;3;3
255094;Franklinstraße / Galvanistraße;8.636161;50.115517;206;209
255095;Bornheimer Landwehr / Wittelsbacherallee;8.710066;50.122422;79;74
255731;Schweizer Straße / Städelstraße;8.678671;50.104321;275;294
255734;Hanauer Landstraße 334;8.742984;50.123378;28;20
256115;S-Bahn Station Frankfurter Berg;8.675868;50.170418;29;34
256196;Stralsunder Straße 34;8.669713;50.130836;133;127
256368;Hofstraße 5;8.674389;50.107554;78;73
257268;Ludwigstraße / Niddastraße;8.65869;50.107443;1013;827
257272;Mörfelder Landstraße / Riedhofweg;8.674523;50.091668;66;67
257273;Schwarzwaldstraße / Neuwiesenstraße;8.653185;50.080624;26;26
257274;Sachsenhäuser Landwehrweg / Boehlepark;8.690786;50.088122;9;8
257275;Hainer Weg / Scholdererweg;8.697672;50.085379;20;21
257332;Engelsruhe / Gotenstraße;8.536217;50.114615;19;20
257333;Hans-Böckler-Straße / Geißspitzweg;8.52977;50.111944;10;12
257334;Sternstraße / Unterweg;8.6823;50.12023;163;165
257341;Hügelstraße / Wilhelm-Busch-Straße;8.661571;50.147038;46;47
257343;Nußzeil / Josephskirchstraße;8.661729;50.15637;36;34
258595;Mainkai / Am Hafendeck;8.75394;50.11272;123;165
258992;Ledermuseum/Berliner Straße;8.7517;50.10611;163;172
258993;Rathaus/Berliner Straße;8.76191;50.10592;92;99
258994;Berliner Straße/Marktplatz;8.76481;50.10555;109;129
258995;Kaiserstraße/Bismarckstraße;8.76053;50.0998;79;64
258996;Starkenburgring/Klinikum Offenbach;8.75588;50.0963;66;79
258998;Bahnhof Offenbach Ost/Lämmerspieler Weg;8.78416;50.10246;32;34
258999;Anhalter Straße / Rumpenheimer Straße;8.79024;50.12414;15;18
259000;Brunnenweg/Wilhelm-Schramm-Straße;8.78361;50.08368;5;10
259001;Bahnhof Bieber / Poststraße;8.80831;50.09009;12;14
272652;Niddastraße / Weserstraße;8.66734;50.11095;0;0
